hours_studied,attendance_percentage,assignments_completed,previous_exam_score,sleep_hours,extracurricular_hours,tutoring_sessions,parental_support_score,screen_time_hours,motivation_level,class_participation_score,final_marks
3.75,75.95,18,76.66,5.33,0.88,5,7,6.68,7,4,88.45
9.51,73.96,4,38.37,5.25,0.72,5,3,4.47,2,9,75.93
7.32,51.28,7,70.08,8.52,1.27,6,4,0.25,9,2,86.61
5.99,67.06,6,47.97,5.52,4.57,4,9,3.69,3,5,69.34
1.56,69.01,13,86.29,9.37,0.57,6,4,3.7,2,2,83.52
1.56,69.94,2,59.82,7.44,3.79,1,3,4.35,3,1,57.58
0.58,79.01,17,99.63,6.1,3.79,0,5,5.37,2,5,89.6
8.66,76.68,15,36.48,9.0,4.05,7,7,0.15,8,2,94.5
6.01,80.4,18,84.62,6.96,4.43,0,5,4.02,5,7,100.0
7.08,88.24,18,77.16,9.47,1.32,1,4,4.71,3,8,98.85
0.21,90.65,17,83.72,9.57,1.12,5,8,2.75,5,2,91.07
9.7,85.91,19,51.53,4.99,2.33,0,4,5.35,8,7,94.56
8.32,97.78,15,64.44,4.01,1.33,2,2,1.83,7,4,95.04
2.12,50.91,7,85.76,9.9,3.67,6,10,2.54,6,1,84.4
1.82,59.79,0,46.28,9.44,3.18,7,6,7.7,1,3,44.97
1.83,50.38,16,45.82,4.33,4.37,3,2,2.78,10,1,69.19
3.04,82.37,11,68.57,9.0,0.41,2,3,2.77,1,5,73.07
5.25,94.9,20,66.65,6.75,4.58,0,1,4.77,1,8,78.36
4.32,62.17,10,49.76,5.55,1.47,8,5,7.77,10,1,66.32
2.91,96.35,4,50.87,9.27,2.45,5,9,7.86,8,9,91.01
6.12,53.01,11,49.45,5.18,2.19,5,2,4.64,8,3,67.68
1.39,96.72,16,84.01,9.68,3.8,8,7,0.01,7,5,100.0
2.92,67.58,5,75.63,5.23,2.1,0,5,7.21,6,9,75.0
3.66,55.07,0,88.27,7.68,4.72,5,2,4.56,4,5,64.88
4.56,74.29,4,98.28,5.34,4.51,4,8,2.93,1,9,85.01
7.85,62.84,13,63.19,7.27,4.36,5,6,6.63,9,10,100.0
2.0,64.24,4,34.67,8.1,0.36,7,4,3.2,1,8,60.18
5.14,65.36,0,33.37,5.14,4.27,4,4,0.27,4,7,59.35
5.92,90.15,17,50.7,7.13,3.91,1,2,6.57,3,1,79.97
0.46,76.96,15,95.28,6.81,0.52,1,3,4.37,7,4,84.06
6.08,65.57,8,66.62,4.43,0.54,4,7,2.71,5,9,83.17
1.71,80.52,18,49.03,8.91,0.51,2,3,2.01,5,10,87.22
0.65,85.81,4,57.94,6.01,0.06,2,5,4.75,4,8,66.7
9.49,63.63,1,71.9,7.45,2.74,7,10,1.66,1,4,81.08
9.66,70.68,14,75.71,7.09,4.87,6,6,2.59,5,1,100.0
8.08,56.09,6,40.77,7.08,2.19,0,6,5.09,4,10,71.47
3.05,59.06,3,98.39,4.64,2.7,4,4,7.05,10,4,80.57
0.98,84.06,0,68.13,6.54,4.84,8,6,4.26,8,3,73.3
6.84,59.07,12,39.5,6.71,1.28,3,3,6.07,2,6,67.86
4.4,76.26,19,92.55,8.4,4.29,0,7,6.1,8,5,100.0
1.22,85.45,6,35.22,9.04,2.73,7,7,5.31,1,5,54.62
4.95,55.34,14,93.54,7.27,2.85,4,4,1.97,4,2,89.55
0.34,78.37,13,99.76,4.52,1.72,1,2,6.93,3,3,76.43
9.09,62.83,18,79.03,5.42,2.81,0,7,3.49,5,6,100.0
2.59,98.15,19,83.93,4.99,0.37,2,3,0.35,5,2,92.38
6.63,74.18,17,53.61,4.75,3.82,8,1,1.96,5,4,88.83
3.12,90.3,9,95.91,6.2,1.42,0,2,6.12,4,2,77.26
5.2,77.51,8,67.08,5.38,4.44,3,10,0.55,8,9,89.59
5.47,52.17,7,81.27,5.31,1.84,7,9,1.18,3,3,91.06
1.85,81.66,9,94.69,4.33,0.71,7,8,5.55,4,10,90.67
